"Date","Current.Capacity","Design.Capacity"
0,39927,44400
.14285,39927,44400
.2857,39927,44400
.42855,39927,44400
.5714,39927,44400
.71425,39927,44400
.8571,39927,44400
.99995,39927,44400
1.1428,39927,44400
